name,uid,code,shortName,description,formName,domainType,valueType,aggregationType,categoryCombinationUid,url,zeroIsSignificant,optionSetValue
New_Target Key Population <15 female,,,Target Key Population <15 F,,Target Key Population <15 female,TRACKER,INTEGER_ZERO_OR_POSITIVE,SUM,,,FALSE,
New_Target Key Population >15 female,,,Target Key Population >15 F,,Target Key Population >15 female,TRACKER,INTEGER_ZERO_OR_POSITIVE,SUM,,,FALSE,
New_Target Key Population <15 male,,,Target Key Population <15 M,,Target Key Population <15 male,TRACKER,INTEGER_ZERO_OR_POSITIVE,SUM,,,FALSE,
New_Target Key Population >15 male,,,Target Key Population >15 M,,Target Key Population >15 male,TRACKER,INTEGER_ZERO_OR_POSITIVE,SUM,,,FALSE,
New_Target Key Population current miners,,,Target Key Population CM,,Target Key Population current miners,TRACKER,INTEGER_ZERO_OR_POSITIVE,SUM,,,FALSE,
New_Target Key Population ex miners,,,Target Key Population EM,,Target Key Population ex miners,TRACKER,INTEGER_ZERO_OR_POSITIVE,SUM,,,FALSE,
New_Target Key Population  of current miners,,,Target Key Population  of CM,,Target Key Population  of current miners,TRACKER,INTEGER_ZERO_OR_POSITIVE,SUM,,,FALSE,
New_Target Key Population familly member of exminers,,,Target Key Population FMeX,,Target Key Population familly member of exminers,TRACKER,INTEGER_ZERO_OR_POSITIVE,SUM,,,FALSE,
New_Target Key Population community member,,,Target Key Population CM,,Target Key Population community member,TRACKER,INTEGER_ZERO_OR_POSITIVE,SUM,,,FALSE,
New_Estimated Number target population in Area <15 female,,,Estimated No target population in Area <15 F,,Estimated Number target population in Area <15 female,TRACKER,INTEGER_ZERO_OR_POSITIVE,SUM,,,FALSE,
New_ Sensitized/Provided with TB education <15 female,,, Sensitized/Provided with TB education <15 F,, Sensitized/Provided with TB education <15 female,TRACKER,INTEGER_ZERO_OR_POSITIVE,SUM,,,FALSE,
New_ Total number of clients seen <15 female,,, Total No of clients seen <15 F,, Total number of clients seen <15 female,TRACKER,INTEGER_ZERO_OR_POSITIVE,SUM,,,FALSE,
New_Number of clients screened for TB  <15 female,,,No of clients screened for TB  <15 F,,Number of clients screened for TB  <15 female,TRACKER,INTEGER_ZERO_OR_POSITIVE,SUM,,,FALSE,
New_ Presumptive TB (National screening tool) <15 female,,, Presumptive TB (National screening tool) <15 F,, Presumptive TB (National screening tool) <15 female,TRACKER,INTEGER_ZERO_OR_POSITIVE,SUM,,,FALSE,
New_ Number tested with GeneXpert <15 female,,, No tested with GeneXpert <15 F,, Number tested with GeneXpert <15 female,TRACKER,INTEGER_ZERO_OR_POSITIVE,SUM,,,FALSE,
New_GeneXpert positive TB <15 female,,,GeneXpert positive TB <15 F,,GeneXpert positive TB <15 female,TRACKER,INTEGER_ZERO_OR_POSITIVE,SUM,,,FALSE,
New_ Number examined with X-rays done <15 female,,, No examined with X-rays done <15 F,, Number examined with X-rays done <15 female,TRACKER,INTEGER_ZERO_OR_POSITIVE,SUM,,,FALSE,
New_ No of X-rays suggestive of current TB <15 female,,, No of X-rays suggestive of current TB <15 F,, No of X-rays suggestive of current TB <15 female,TRACKER,INTEGER_ZERO_OR_POSITIVE,SUM,,,FALSE,
New_ No of X-rays suggestive of old TB <15 female,,, No of X-rays suggestive of old TB <15 F,, No of X-rays suggestive of old TB <15 female,TRACKER,INTEGER_ZERO_OR_POSITIVE,SUM,,,FALSE,
New_TB cases diagnosed (bacteriological and clinical) <15 female,,,TB cases diagnosed  <15 F,,TB cases diagnosed (bacteriological and clinical) <15 female,TRACKER,INTEGER_ZERO_OR_POSITIVE,SUM,,,FALSE,
New_ Number of TB cases initiated on treatment <15 female,,, No of TB cases initiated on treatment <15 F,, Number of TB cases initiated on treatment <15 female,TRACKER,INTEGER_ZERO_OR_POSITIVE,SUM,,,FALSE,
New_ Drug resistant TB cases (RR-TB or MDR TB) notified <15 female,,, Drug resistant TB cases  notified <15 F,, Drug resistant TB cases (RR-TB or MDR TB) notified <15 female,TRACKER,INTEGER_ZERO_OR_POSITIVE,SUM,,,FALSE,
New_New TB cases with known HIV status  <15 female,,,New TB cases with known HIV status  <15 F,,New TB cases with known HIV status  <15 female,TRACKER,INTEGER_ZERO_OR_POSITIVE,SUM,,,FALSE,
New_Number of clients already on ART  <15 female,,,No of clients already on ART  <15 F,,Number of clients already on ART  <15 female,TRACKER,INTEGER_ZERO_OR_POSITIVE,SUM,,,FALSE,
New_Number of HIV-Postive TB patients on ART  <15 female,,,No of HIV-Postive TB patients on ART  <15 F,,Number of HIV-Postive TB patients on ART  <15 female,TRACKER,INTEGER_ZERO_OR_POSITIVE,SUM,,,FALSE,
New_Total number of clients tested for HIV  <15 female,,,Total No of clients tested for HIV  <15 F,,Total number of clients tested for HIV  <15 female,TRACKER,INTEGER_ZERO_OR_POSITIVE,SUM,,,FALSE,
New_Number who tested as HIV positive <15 female,,,No who tested as HIV positive <15 F,,Number who tested as HIV positive <15 female,TRACKER,INTEGER_ZERO_OR_POSITIVE,SUM,,,FALSE,
New_ Number of new HIV postives linked to HIV care<15 female,,, No of new HIV postives linked to HIV care<15 F,, Number of new HIV postives linked to HIV care<15 female,TRACKER,INTEGER_ZERO_OR_POSITIVE,SUM,,,FALSE,
New_  >15 female Estimated Number target population in Area,,,  >15 F Estimated No target population in Area,,  >15 female Estimated Number target population in Area,TRACKER,INTEGER_ZERO_OR_POSITIVE,SUM,,,FALSE,
New_  >15 female Sensitized/Provided with TB education,,,  >15 F Sensitized/Provided with TB education,,  >15 female Sensitized/Provided with TB education,TRACKER,INTEGER_ZERO_OR_POSITIVE,SUM,,,FALSE,
New_  >15 female Total number of clients seen,,,  >15 F Total No of clients seen,,  >15 female Total number of clients seen,TRACKER,INTEGER_ZERO_OR_POSITIVE,SUM,,,FALSE,
New_  >15 female Number of clients screened for TB,,,  >15 F No of clients screened for TB,,  >15 female Number of clients screened for TB,TRACKER,INTEGER_ZERO_OR_POSITIVE,SUM,,,FALSE,
New_  >15 female Presumptive TB (National screening tool),,,  >15 F Presumptive TB (National screening tool),,  >15 female Presumptive TB (National screening tool),TRACKER,INTEGER_ZERO_OR_POSITIVE,SUM,,,FALSE,
New_  >15 female Number tested with GeneXpert,,,  >15 F No tested with GeneXpert,,  >15 female Number tested with GeneXpert,TRACKER,INTEGER_ZERO_OR_POSITIVE,SUM,,,FALSE,
New_  >15 female GeneXpert positive TB,,,  >15 F GeneXpert positive TB,,  >15 female GeneXpert positive TB,TRACKER,INTEGER_ZERO_OR_POSITIVE,SUM,,,FALSE,
New_  >15 female Number examined with X-rays done,,,  >15 F No examined with X-rays done,,  >15 female Number examined with X-rays done,TRACKER,INTEGER_ZERO_OR_POSITIVE,SUM,,,FALSE,
New_  >15 female No of X-rays suggestive of current TB,,,  >15 F No of X-rays suggestive of current TB,,  >15 female No of X-rays suggestive of current TB,TRACKER,INTEGER_ZERO_OR_POSITIVE,SUM,,,FALSE,
New_  >15 female No of X-rays suggestive of old TB,,,  >15 F No of X-rays suggestive of old TB,,  >15 female No of X-rays suggestive of old TB,TRACKER,INTEGER_ZERO_OR_POSITIVE,SUM,,,FALSE,
New_  >15 female TB cases diagnosed (bacteriological and clinical),,,  >15 F TB cases diagnosed ,,  >15 female TB cases diagnosed (bacteriological and clinical),TRACKER,INTEGER_ZERO_OR_POSITIVE,SUM,,,FALSE,
New_  >15 female Number of TB cases initiated on treatment,,,  >15 F No of TB cases initiated on treatment,,  >15 female Number of TB cases initiated on treatment,TRACKER,INTEGER_ZERO_OR_POSITIVE,SUM,,,FALSE,
New_  >15 female Drug resistant TB cases (RR-TB or MDR TB) notified,,,  >15 F Drug resistant TB cases  notified,,  >15 female Drug resistant TB cases (RR-TB or MDR TB) notified,TRACKER,INTEGER_ZERO_OR_POSITIVE,SUM,,,FALSE,
New_  >15 female New TB cases with known HIV status,,,  >15 F New TB cases with known HIV status,,  >15 female New TB cases with known HIV status,TRACKER,INTEGER_ZERO_OR_POSITIVE,SUM,,,FALSE,
New_  >15 female Number of clients already on ART,,,  >15 F No of clients already on ART,,  >15 female Number of clients already on ART,TRACKER,INTEGER_ZERO_OR_POSITIVE,SUM,,,FALSE,
New_  >15 female Number of HIV-Postive TB patients on ART,,,  >15 F No of HIV-Postive TB patients on ART,,  >15 female Number of HIV-Postive TB patients on ART,TRACKER,INTEGER_ZERO_OR_POSITIVE,SUM,,,FALSE,
New_  >15 female Total number of clients tested for HIV,,,  >15 F Total No of clients tested for HIV,,  >15 female Total number of clients tested for HIV,TRACKER,INTEGER_ZERO_OR_POSITIVE,SUM,,,FALSE,
New_  >15 female Number of new HIV postives linked to HIV care,,,  >15 F No of new HIV postives linked to HIV care,,  >15 female Number of new HIV postives linked to HIV care,TRACKER,INTEGER_ZERO_OR_POSITIVE,SUM,,,FALSE,
New_ <15 male Estimated Number target population in Area,,, <15 M Estimated No target population in Area,, <15 male Estimated Number target population in Area,TRACKER,INTEGER_ZERO_OR_POSITIVE,SUM,,,FALSE,
New_ <15 male Sensitized/Provided with TB education,,, <15 M Sensitized/Provided with TB education,, <15 male Sensitized/Provided with TB education,TRACKER,INTEGER_ZERO_OR_POSITIVE,SUM,,,FALSE,
New_ <15 male Total number of clients seen,,, <15 M Total No of clients seen,, <15 male Total number of clients seen,TRACKER,INTEGER_ZERO_OR_POSITIVE,SUM,,,FALSE,
New_ <15 male  Number of clients screened for TB,,, <15 M  No of clients screened for TB,, <15 male  Number of clients screened for TB,TRACKER,INTEGER_ZERO_OR_POSITIVE,SUM,,,FALSE,
New_ <15 male Presumptive TB (National screening tool),,, <15 M Presumptive TB (National screening tool),, <15 male Presumptive TB (National screening tool),TRACKER,INTEGER_ZERO_OR_POSITIVE,SUM,,,FALSE,
New_ <15 male Number tested with GeneXpert,,, <15 M No tested with GeneXpert,, <15 male Number tested with GeneXpert,TRACKER,INTEGER_ZERO_OR_POSITIVE,SUM,,,FALSE,
New_ <15 male GeneXpert positive TB,,, <15 M GeneXpert positive TB,, <15 male GeneXpert positive TB,TRACKER,INTEGER_ZERO_OR_POSITIVE,SUM,,,FALSE,
New_ <15 male Number examined with X-rays done,,, <15 M No examined with X-rays done,, <15 male Number examined with X-rays done,TRACKER,INTEGER_ZERO_OR_POSITIVE,SUM,,,FALSE,
New_ <15 male No of X-rays suggestive of current TB,,, <15 M No of X-rays suggestive of current TB,, <15 male No of X-rays suggestive of current TB,TRACKER,INTEGER_ZERO_OR_POSITIVE,SUM,,,FALSE,
New_ <15 male No of X-rays suggestive of old TB,,, <15 M No of X-rays suggestive of old TB,, <15 male No of X-rays suggestive of old TB,TRACKER,INTEGER_ZERO_OR_POSITIVE,SUM,,,FALSE,
New_ <15 male TB cases diagnosed (bacteriological and clinical),,, <15 M TB cases diagnosed ,, <15 male TB cases diagnosed (bacteriological and clinical),TRACKER,INTEGER_ZERO_OR_POSITIVE,SUM,,,FALSE,
New_ <15 male Number of TB cases initiated on treatment,,, <15 M No of TB cases initiated on treatment,, <15 male Number of TB cases initiated on treatment,TRACKER,INTEGER_ZERO_OR_POSITIVE,SUM,,,FALSE,
New_ <15 male Drug resistant TB cases (RR-TB or MDR TB) notified,,, <15 M Drug resistant TB cases  notified,, <15 male Drug resistant TB cases (RR-TB or MDR TB) notified,TRACKER,INTEGER_ZERO_OR_POSITIVE,SUM,,,FALSE,
New_ <15 male New TB cases with known HIV status,,, <15 M New TB cases with known HIV status,, <15 male New TB cases with known HIV status,TRACKER,INTEGER_ZERO_OR_POSITIVE,SUM,,,FALSE,
New_ <15 male Number of clients already on ART,,, <15 M No of clients already on ART,, <15 male Number of clients already on ART,TRACKER,INTEGER_ZERO_OR_POSITIVE,SUM,,,FALSE,
New_ <15 male Number of HIV-Postive TB patients on ART,,, <15 M No of HIV-Postive TB patients on ART,, <15 male Number of HIV-Postive TB patients on ART,TRACKER,INTEGER_ZERO_OR_POSITIVE,SUM,,,FALSE,
New_ <15 male Total number of clients tested for HIV,,, <15 M Total No of clients tested for HIV,, <15 male Total number of clients tested for HIV,TRACKER,INTEGER_ZERO_OR_POSITIVE,SUM,,,FALSE,
New_ <15 male Number who tested as HIV positive,,, <15 M No who tested as HIV positive,, <15 male Number who tested as HIV positive,TRACKER,INTEGER_ZERO_OR_POSITIVE,SUM,,,FALSE,
New_ <15 male Number of new HIV postives linked to HIV care,,, <15 M No of new HIV postives linked to HIV care,, <15 male Number of new HIV postives linked to HIV care,TRACKER,INTEGER_ZERO_OR_POSITIVE,SUM,,,FALSE,
New_ >15 male Estimated Number target population in Area,,, >15 M Estimated No target population in Area,, >15 male Estimated Number target population in Area,TRACKER,INTEGER_ZERO_OR_POSITIVE,SUM,,,FALSE,
New_ >15 male Sensitized/Provided with TB education,,, >15 M Sensitized/Provided with TB education,, >15 male Sensitized/Provided with TB education,TRACKER,INTEGER_ZERO_OR_POSITIVE,SUM,,,FALSE,
New_ >15 male Total number of clients seen,,, >15 M Total No of clients seen,, >15 male Total number of clients seen,TRACKER,INTEGER_ZERO_OR_POSITIVE,SUM,,,FALSE,
New_ >15 male  Number of clients screened for TB,,, >15 M  No of clients screened for TB,, >15 male  Number of clients screened for TB,TRACKER,INTEGER_ZERO_OR_POSITIVE,SUM,,,FALSE,
New_ >15 male Presumptive TB (National screening tool),,, >15 M Presumptive TB (National screening tool),, >15 male Presumptive TB (National screening tool),TRACKER,INTEGER_ZERO_OR_POSITIVE,SUM,,,FALSE,
New_ >15 male Number tested with GeneXpert,,, >15 M No tested with GeneXpert,, >15 male Number tested with GeneXpert,TRACKER,INTEGER_ZERO_OR_POSITIVE,SUM,,,FALSE,
New_ >15 male GeneXpert positive TB,,, >15 M GeneXpert positive TB,, >15 male GeneXpert positive TB,TRACKER,INTEGER_ZERO_OR_POSITIVE,SUM,,,FALSE,
New_ >15 male Number examined with X-rays done,,, >15 M No examined with X-rays done,, >15 male Number examined with X-rays done,TRACKER,INTEGER_ZERO_OR_POSITIVE,SUM,,,FALSE,
New_ >15 male No of X-rays suggestive of current TB,,, >15 M No of X-rays suggestive of current TB,, >15 male No of X-rays suggestive of current TB,TRACKER,INTEGER_ZERO_OR_POSITIVE,SUM,,,FALSE,
New_ >15 male No of X-rays suggestive of old TB,,, >15 M No of X-rays suggestive of old TB,, >15 male No of X-rays suggestive of old TB,TRACKER,INTEGER_ZERO_OR_POSITIVE,SUM,,,FALSE,
New_ >15 male TB cases diagnosed (bacteriological and clinical),,, >15 M TB cases diagnosed ,, >15 male TB cases diagnosed (bacteriological and clinical),TRACKER,INTEGER_ZERO_OR_POSITIVE,SUM,,,FALSE,
New_ >15 male Number of TB cases initiated on treatment,,, >15 M No of TB cases initiated on treatment,, >15 male Number of TB cases initiated on treatment,TRACKER,INTEGER_ZERO_OR_POSITIVE,SUM,,,FALSE,
New_ >15 male Drug resistant TB cases (RR-TB or MDR TB) notified,,, >15 M Drug resistant TB cases  notified,, >15 male Drug resistant TB cases (RR-TB or MDR TB) notified,TRACKER,INTEGER_ZERO_OR_POSITIVE,SUM,,,FALSE,
New_ >15 male New TB cases with known HIV status,,, >15 M New TB cases with known HIV status,, >15 male New TB cases with known HIV status,TRACKER,INTEGER_ZERO_OR_POSITIVE,SUM,,,FALSE,
New_ >15 male Number of clients already on ART,,, >15 M No of clients already on ART,, >15 male Number of clients already on ART,TRACKER,INTEGER_ZERO_OR_POSITIVE,SUM,,,FALSE,
New_ >15 male Number of HIV-Postive TB patients on ART,,, >15 M No of HIV-Postive TB patients on ART,, >15 male Number of HIV-Postive TB patients on ART,TRACKER,INTEGER_ZERO_OR_POSITIVE,SUM,,,FALSE,
New_ >15 male Total number of clients tested for HIV,,, >15 M Total No of clients tested for HIV,, >15 male Total number of clients tested for HIV,TRACKER,INTEGER_ZERO_OR_POSITIVE,SUM,,,FALSE,
New_ >15 male Number who tested as HIV positive,,, >15 M No who tested as HIV positive,, >15 male Number who tested as HIV positive,TRACKER,INTEGER_ZERO_OR_POSITIVE,SUM,,,FALSE,
New_ >15 male Number of new HIV postives linked to HIV care,,, >15 M No of new HIV postives linked to HIV care,, >15 male Number of new HIV postives linked to HIV care,TRACKER,INTEGER_ZERO_OR_POSITIVE,SUM,,,FALSE,
New_ Estimated Number target population in Area >current miners,,, Estimated No target population in Area >CM,, Estimated Number target population in Area >current miners,TRACKER,INTEGER_ZERO_OR_POSITIVE,SUM,,,FALSE,
New_ Sensitized/Provided with TB education >current miners,,, Sensitized/Provided with TB education >CM,, Sensitized/Provided with TB education >current miners,TRACKER,INTEGER_ZERO_OR_POSITIVE,SUM,,,FALSE,
New_ Total number of clients seen  >current miners,,, Total No of clients seen  >CM,, Total number of clients seen  >current miners,TRACKER,INTEGER_ZERO_OR_POSITIVE,SUM,,,FALSE,
New_Number of clients screened for TB  >current miners,,,No of clients screened for TB  >CM,,Number of clients screened for TB  >current miners,TRACKER,INTEGER_ZERO_OR_POSITIVE,SUM,,,FALSE,
New_Presumptive TB (National screening tool)  >current miners,,,Presumptive TB (National screening tool)  >CM,,Presumptive TB (National screening tool)  >current miners,TRACKER,INTEGER_ZERO_OR_POSITIVE,SUM,,,FALSE,
New_ Number tested with GeneXpert >current miners,,, No tested with GeneXpert >CM,, Number tested with GeneXpert >current miners,TRACKER,INTEGER_ZERO_OR_POSITIVE,SUM,,,FALSE,
New_ GeneXpert positive TB >current miners,,, GeneXpert positive TB >CM,, GeneXpert positive TB >current miners,TRACKER,INTEGER_ZERO_OR_POSITIVE,SUM,,,FALSE,
New_Number examined with X-rays done  >current miners,,,No examined with X-rays done  >CM,,Number examined with X-rays done  >current miners,TRACKER,INTEGER_ZERO_OR_POSITIVE,SUM,,,FALSE,
New_ No of X-rays suggestive of current TB >current miners,,, No of X-rays suggestive of current TB >CM,, No of X-rays suggestive of current TB >current miners,TRACKER,INTEGER_ZERO_OR_POSITIVE,SUM,,,FALSE,
